PPG GSR SENSOR_TIME COMPUTER_TIME
1339.194139 79026.315789 9836852 1590688755.005792
1332.600733 79026.315789 9837012 1590688755.005792
1325.274725 79026.315789 9837172 1590688755.011777
1320.146520 79026.315789 9837332 1590688755.012771
1315.750916 79026.315789 9837492 1590688755.020754
1310.622711 79026.315789 9837652 1590688755.021746
1304.761905 79026.315789 9837812 1590688755.031724
1300.366300 79026.315789 9837972 1590688755.032719
1294.505495 79026.315789 9838132 1590688755.039701
1289.377289 79026.315789 9838292 1590688755.039701
1286.446886 79026.315789 9838452 1590688755.050817
1284.249084 76347.457627 9838612 1590688755.051668
1282.051282 79026.315789 9838772 1590688755.062643
1280.586081 76347.457627 9838932 1590688755.062643
1282.783883 79026.315789 9839092 1590688755.063640
1282.051282 76347.457627 9839252 1590688755.063640
1282.783883 79026.315789 9839412 1590688755.078597
1283.516484 79026.315789 9839572 1590688755.078597
1283.516484 76347.457627 9839732 1590688755.087572
1284.249084 76347.457627 9839892 1590688755.087572
1284.249084 79026.315789 9840052 1590688755.097550
1284.981685 79026.315789 9840212 1590688755.097550
1283.516484 76347.457627 9840372 1590688755.107523
1282.783883 79026.315789 9840532 1590688755.107523
1281.318681 79026.315789 9840692 1590688755.118499
1279.120879 76347.457627 9840852 1590688755.118499
1275.457875 76347.457627 9841012 1590688755.129488
1275.457875 79026.315789 9841172 1590688755.130459
1273.992674 76347.457627 9841332 1590688755.146422
1271.794872 79026.315789 9841492 1590688755.146422
1270.329670 79026.315789 9841652 1590688755.152513
1271.062271 79026.315789 9841812 1590688755.152513
1270.329670 79026.315789 9841972 1590688755.210252
1268.864469 79026.315789 9842132 1590688755.210252
1270.329670 79026.315789 9842292 1590688755.211245
1271.062271 79026.315789 9842452 1590688755.211245
1270.329670 79026.315789 9842612 1590688755.212240
1271.062271 79026.315789 9842772 1590688755.212240
1271.794872 79026.315789 9842932 1590688755.213238
1271.062271 79026.315789 9843092 1590688755.214243
1272.527473 79026.315789 9843252 1590688755.214243
1275.457875 79026.315789 9843412 1590688755.214243
1274.725275 79026.315789 9843572 1590688755.214243
1271.794872 79026.315789 9843732 1590688755.215234
1270.329670 79026.315789 9843892 1590688755.216230
1268.864469 79026.315789 9844052 1590688755.216230
1268.131868 76347.457627 9844212 1590688755.231189
1266.666667 79026.315789 9844372 1590688755.231189
1264.468864 79026.315789 9844532 1590688755.236176
1262.271062 79026.315789 9844692 1590688755.236176
1260.805861 79026.315789 9844852 1590688755.247161
1263.003663 79026.315789 9845012 1590688755.247161
1263.736264 79026.315789 9845172 1590688755.256125
1265.201465 76347.457627 9845332 1590688755.256125
1268.131868 79026.315789 9845492 1590688755.267091
1275.457875 76347.457627 9845652 1590688755.267091
1284.981685 79026.315789 9845812 1590688755.272080
1298.168498 76347.457627 9845972 1590688755.272080
1317.216117 79026.315789 9846132 1590688755.283052
1338.461538 79026.315789 9846292 1590688755.284054
1364.102564 79026.315789 9846452 1590688755.301006
1396.336996 79026.315789 9846612 1590688755.301006
1430.036630 79026.315789 9846772 1590688755.302000
1463.736264 79026.315789 9846932 1590688755.302000
1499.633700 79026.315789 9847092 1590688755.313974
1537.728938 79026.315789 9847252 1590688755.313974
1575.091575 76347.457627 9847412 1590688755.324935
1611.721612 79026.315789 9847572 1590688755.324935
1647.619048 76347.457627 9847732 1590688755.334914
1680.586081 76347.457627 9847892 1590688755.334914
1711.355311 79026.315789 9848052 1590688755.345892
1739.926740 79026.315789 9848212 1590688755.345892
1767.032967 79026.315789 9848372 1590688755.354861
1787.545788 76347.457627 9848532 1590688755.354861
1805.128205 79026.315789 9848692 1590688755.360876
1821.245421 79026.315789 9848852 1590688755.361841
1832.967033 76347.457627 9849012 1590688755.370822
1839.560440 76347.457627 9849172 1590688755.371820
1845.421245 76347.457627 9849332 1590688755.381791
1847.619048 79026.315789 9849492 1590688755.382785
1844.688645 76347.457627 9849652 1590688755.390765
1839.560440 76347.457627 9849812 1590688755.391764
1834.432234 79026.315789 9849972 1590688755.415696
1825.641026 76347.457627 9850132 1590688755.416694
1811.721612 76347.457627 9850292 1590688755.416694
1799.267399 79026.315789 9850452 1590688755.417693
1784.615385 79026.315789 9850612 1590688755.437641
1767.765568 79026.315789 9850772 1590688755.437641
1751.648352 76347.457627 9850932 1590688755.438634
1734.798535 76347.457627 9851092 1590688755.438634
1716.483516 76347.457627 9851252 1590688755.439632
1697.435897 76347.457627 9851412 1590688755.439632
1681.318681 76347.457627 9851572 1590688755.457587
1666.666667 76347.457627 9851732 1590688755.457587
1649.816850 76347.457627 9851892 1590688755.462573
1634.432234 76347.457627 9852052 1590688755.462573
